sun,wind,humidity,season,time,temp,travel,tennis
not sunny,windy,not humid,fall,AM,81.72,14,no tennis
not sunny,not windy,not humid,summer,PM,89.22,6,no tennis
not sunny,windy,not humid,summer,PM,67.03,11,tennis
not sunny,windy,not humid,fall,PM,61.83,5,no tennis
not sunny,windy,not humid,fall,AM,93.02,29,no tennis
not sunny,windy,not humid,summer,PM,97.34,11,no tennis
sunny,not windy,not humid,fall,AM,71.58,22,tennis
not sunny,windy,not humid,summer,PM,52.78,25,no tennis
not sunny,not windy,not humid,fall,AM,52.46,12,tennis
sunny,not windy,not humid,fall,AM,57.87,21,tennis
not sunny,not windy,not humid,fall,PM,53.95,12,no tennis
sunny,windy,humid,summer,PM,84.82,29,tennis
not sunny,windy,humid,summer,AM,78.71,23,no tennis
sunny,windy,not humid,fall,PM,69.16,12,tennis
sunny,not windy,humid,fall,AM,67.02,25,tennis
sunny,windy,not humid,summer,PM,86.2,3,tennis
not sunny,not windy,humid,fall,AM,76.87,18,no tennis
not sunny,windy,not humid,fall,AM,50.93,5,no tennis
not sunny,windy,not humid,summer,AM,90.13,13,no tennis
not sunny,not windy,humid,summer,AM,52.43,0,no tennis
not sunny,windy,humid,summer,AM,80.94,23,no tennis
sunny,not windy,not humid,fall,PM,80.87,2,tennis
sunny,not windy,humid,fall,AM,87.34,6,tennis
sunny,not windy,not humid,fall,PM,98.7,7,tennis
not sunny,windy,humid,fall,AM,61.7,5,no tennis
sunny,windy,not humid,fall,PM,73.21,18,tennis
not sunny,windy,not humid,summer,PM,72.33,9,no tennis
not sunny,windy,not humid,summer,AM,56.45,30,no tennis
not sunny,not windy,humid,fall,AM,59.04,4,no tennis
not sunny,not windy,not humid,summer,AM,63.2,8,no tennis
not sunny,windy,humid,summer,PM,90.4,12,tennis
sunny,not windy,not humid,fall,PM,80.89,24,tennis
sunny,not windy,humid,summer,PM,50.35,15,tennis
not sunny,not windy,humid,fall,AM,86.81,10,no tennis
not sunny,not windy,not humid,summer,AM,84.64,15,no tennis
sunny,windy,humid,fall,PM,60.55,1,tennis
sunny,windy,humid,summer,AM,57.42,26,tennis
not sunny,windy,not humid,fall,AM,84.13,2,no tennis
sunny,windy,humid,summer,PM,82.14,3,tennis
sunny,not windy,not humid,fall,AM,98.76,19,tennis
sunny,windy,humid,fall,AM,78.22,29,tennis
not sunny,not windy,not humid,fall,PM,77.93,5,tennis
sunny,windy,humid,fall,AM,92.08,7,no tennis
not sunny,not windy,humid,fall,PM,97.49,10,no tennis
sunny,windy,humid,fall,PM,59.63,15,tennis
not sunny,windy,not humid,summer,PM,74.08,15,no tennis
sunny,not windy,humid,fall,PM,84.8,15,tennis
not sunny,not windy,humid,fall,PM,72.56,17,no tennis
not sunny,not windy,not humid,fall,PM,92.03,6,no tennis
sunny,windy,not humid,summer,AM,90.73,18,tennis
not sunny,windy,humid,summer,PM,71.41,29,tennis
sunny,not windy,not humid,fall,PM,75.05,24,tennis
not sunny,not windy,humid,fall,PM,57.63,14,no tennis
not sunny,windy,humid,summer,AM,62.52,12,no tennis
not sunny,not windy,humid,fall,PM,72.5,29,no tennis
sunny,not windy,humid,summer,AM,96.37,5,tennis
not sunny,not windy,humid,summer,PM,50.16,26,no tennis
sunny,not windy,humid,fall,PM,67.24,4,tennis
sunny,windy,humid,summer,AM,81.77,11,tennis
not sunny,not windy,not humid,summer,PM,92.42,19,no tennis
sunny,windy,humid,fall,PM,78.17,7,tennis
sunny,not windy,humid,summer,PM,70.69,27,tennis
not sunny,windy,humid,fall,AM,57.21,11,no tennis
sunny,windy,not humid,summer,AM,59.2,3,tennis
sunny,not windy,not humid,fall,PM,69.3,28,tennis
sunny,not windy,humid,summer,AM,54.51,25,tennis
not sunny,windy,humid,summer,AM,74.76,4,no tennis
sunny,not windy,humid,summer,AM,78.12,19,tennis
not sunny,not windy,humid,summer,PM,61.69,2,no tennis
not sunny,windy,humid,summer,AM,85.38,27,no tennis
sunny,not windy,humid,fall,PM,98.22,23,tennis
not sunny,windy,humid,fall,AM,58.37,4,no tennis
sunny,not windy,not humid,summer,AM,61.39,2,tennis
sunny,not windy,humid,summer,PM,78.03,27,tennis
not sunny,windy,humid,fall,PM,63.34,23,no tennis
not sunny,not windy,not humid,fall,PM,82.87,11,no tennis
not sunny,not windy,humid,fall,PM,94.32,5,no tennis
sunny,windy,not humid,summer,AM,96.57,30,tennis
not sunny,not windy,humid,fall,PM,56.5,30,no tennis
not sunny,windy,humid,summer,AM,78.69,12,no tennis
sunny,not windy,not humid,fall,PM,77.71,4,tennis
not sunny,not windy,humid,summer,PM,92.76,28,no tennis
not sunny,windy,humid,summer,PM,58.88,11,no tennis
sunny,windy,not humid,fall,PM,52.28,25,tennis
sunny,not windy,humid,fall,AM,65.88,5,tennis
sunny,windy,not humid,summer,AM,83.78,17,tennis
sunny,windy,humid,summer,PM,56.98,10,tennis
not sunny,not windy,not humid,fall,PM,71.97,9,no tennis
sunny,windy,humid,fall,PM,73.93,10,tennis
sunny,not windy,not humid,summer,PM,95.87,4,tennis
sunny,not windy,humid,fall,PM,98.8,23,tennis
not sunny,not windy,humid,summer,AM,71.93,6,no tennis
sunny,windy,not humid,fall,PM,51.25,10,tennis
sunny,windy,humid,fall,AM,97.34,19,tennis
sunny,windy,not humid,summer,AM,78.68,20,tennis
not sunny,not windy,humid,fall,AM,71.58,17,no tennis
sunny,windy,not humid,summer,PM,58.94,3,tennis
sunny,not windy,not humid,summer,PM,85.77,25,tennis
sunny,windy,not humid,summer,AM,58.02,28,tennis
not sunny,not windy,humid,summer,AM,60.93,19,tennis
sunny,windy,humid,fall,AM,57.21,14,tennis
sunny,windy,humid,summer,AM,55.18,9,tennis
not sunny,not windy,humid,fall,PM,64.01,1,no tennis
not sunny,windy,humid,fall,AM,78.13,28,no tennis
not sunny,not windy,not humid,fall,PM,50.44,24,no tennis
sunny,not windy,humid,fall,PM,87.64,8,tennis
sunny,windy,not humid,summer,AM,89.98,13,tennis
sunny,windy,humid,fall,PM,96.55,21,tennis
not sunny,not windy,not humid,fall,AM,98.26,13,no tennis
not sunny,not windy,humid,fall,PM,77.57,25,no tennis
not sunny,windy,humid,summer,PM,91.7,27,no tennis
not sunny,windy,not humid,summer,PM,92.77,4,no tennis
sunny,windy,humid,fall,PM,67.28,12,no tennis
sunny,not windy,not humid,fall,AM,83.84,25,tennis
not sunny,windy,humid,summer,AM,91.19,27,no tennis
not sunny,not windy,not humid,summer,PM,96.42,7,no tennis
sunny,not windy,not humid,fall,AM,75.28,23,tennis
not sunny,not windy,humid,summer,PM,54.75,20,tennis
sunny,windy,not humid,fall,AM,96.01,2,tennis
sunny,windy,humid,summer,PM,71.85,8,tennis
not sunny,not windy,humid,fall,AM,60.81,11,no tennis
sunny,windy,humid,summer,AM,63.66,27,tennis
sunny,windy,humid,summer,AM,60.5,8,tennis
not sunny,not windy,not humid,fall,AM,74.23,2,no tennis
sunny,not windy,not humid,summer,PM,89.87,4,tennis
not sunny,not windy,not humid,fall,AM,88.11,21,no tennis
sunny,windy,not humid,summer,PM,82.08,20,no tennis
not sunny,windy,humid,fall,PM,53.04,22,no tennis
sunny,not windy,not humid,fall,PM,73.33,12,tennis
sunny,windy,humid,summer,PM,65.53,30,tennis
sunny,not windy,humid,fall,PM,55.13,2,tennis
sunny,windy,not humid,summer,PM,66.52,22,tennis
sunny,not windy,humid,fall,PM,82.05,19,tennis
sunny,windy,not humid,summer,AM,73.26,13,tennis
not sunny,windy,humid,summer,PM,88.85,4,no tennis
sunny,not windy,not humid,summer,PM,69.72,14,tennis
not sunny,not windy,humid,summer,AM,75.03,19,no tennis
sunny,not windy,humid,summer,AM,72.87,28,tennis
sunny,not windy,not humid,fall,AM,69.51,9,tennis
not sunny,not windy,not humid,fall,AM,69.45,18,no tennis
not sunny,not windy,humid,fall,AM,97.92,2,no tennis
not sunny,windy,humid,fall,PM,88.25,3,no tennis
sunny,windy,not humid,summer,AM,83.87,12,tennis
not sunny,not windy,humid,fall,PM,55.75,28,no tennis
not sunny,windy,humid,summer,PM,82.32,11,no tennis
sunny,not windy,not humid,fall,AM,69.17,24,tennis
not sunny,not windy,not humid,summer,PM,94.91,17,tennis
not sunny,windy,not humid,fall,AM,56.29,7,no tennis
not sunny,not windy,humid,fall,PM,51.12,12,no tennis
not sunny,windy,not humid,summer,PM,58.47,28,no tennis
not sunny,not windy,humid,fall,AM,99.64,18,no tennis
not sunny,windy,humid,fall,PM,56.95,12,tennis
sunny,not windy,humid,summer,PM,93.17,29,tennis
not sunny,not windy,humid,summer,PM,50.36,8,no tennis
sunny,not windy,not humid,summer,PM,59.88,25,tennis
sunny,windy,humid,fall,PM,84.91,7,no tennis
sunny,windy,humid,summer,AM,85.19,10,tennis
not sunny,windy,not humid,fall,PM,88.83,9,no tennis
not sunny,windy,not humid,summer,PM,78.26,11,no tennis
sunny,windy,not humid,summer,AM,54.55,15,tennis
sunny,windy,not humid,fall,PM,50.48,3,tennis
not sunny,windy,not humid,fall,PM,71.57,24,tennis
sunny,not windy,not humid,summer,PM,88.6,3,tennis
not sunny,windy,humid,fall,PM,78.11,18,no tennis
sunny,windy,not humid,summer,AM,66.22,20,tennis
sunny,not windy,humid,summer,AM,57.77,12,tennis
not sunny,not windy,not humid,fall,AM,82.72,20,no tennis
sunny,windy,not humid,fall,PM,85.06,21,tennis
not sunny,not windy,not humid,fall,AM,76.82,8,tennis
not sunny,not windy,humid,summer,AM,72.01,18,no tennis
sunny,not windy,not humid,fall,AM,93.86,23,no tennis
not sunny,not windy,not humid,fall,PM,68.76,19,no tennis
sunny,windy,humid,summer,PM,52.84,20,tennis
sunny,not windy,humid,fall,PM,67.64,10,tennis
sunny,windy,humid,fall,AM,98.03,27,tennis
sunny,windy,not humid,summer,PM,76.99,17,no tennis
sunny,windy,not humid,fall,PM,66.75,20,tennis
not sunny,not windy,humid,summer,PM,72.69,15,tennis
sunny,windy,not humid,summer,AM,59.91,28,tennis
not sunny,windy,not humid,summer,AM,90.1,16,no tennis
not sunny,not windy,humid,summer,PM,50.23,18,no tennis
not sunny,not windy,not humid,fall,AM,55.57,7,no tennis
not sunny,not windy,not humid,summer,AM,68.32,5,no tennis
sunny,windy,humid,fall,AM,96.17,7,tennis
not sunny,windy,humid,fall,PM,97.43,16,tennis
sunny,not windy,not humid,fall,PM,99.76,3,tennis
not sunny,not windy,not humid,summer,AM,52.8,15,no tennis
not sunny,windy,humid,summer,AM,58.07,13,no tennis
sunny,not windy,humid,summer,AM,89.63,3,tennis
not sunny,not windy,not humid,summer,AM,83.19,20,no tennis
not sunny,not windy,not humid,fall,PM,93.15,22,no tennis
not sunny,not windy,not humid,fall,PM,70.91,22,tennis
not sunny,not windy,not humid,summer,AM,80.28,6,no tennis
not sunny,not windy,not humid,fall,PM,91.86,24,no tennis
not sunny,not windy,not humid,fall,PM,64.29,10,no tennis
not sunny,windy,humid,fall,AM,78.02,15,tennis
sunny,not windy,humid,fall,PM,68.33,14,tennis
sunny,windy,humid,fall,AM,85.44,9,no tennis
sunny,not windy,not humid,fall,PM,78.86,23,tennis
not sunny,windy,humid,fall,AM,68.37,30,tennis
not sunny,windy,not humid,fall,PM,84.72,29,no tennis
not sunny,not windy,humid,fall,AM,53.01,11,no tennis
not sunny,windy,humid,fall,AM,65.51,30,no tennis
not sunny,windy,not humid,summer,PM,58.15,1,no tennis
not sunny,not windy,not humid,summer,PM,90.31,26,no tennis
sunny,not windy,not humid,summer,PM,90.09,25,tennis
not sunny,not windy,not humid,summer,PM,64.65,8,no tennis
not sunny,not windy,humid,fall,AM,81.63,13,no tennis
not sunny,not windy,not humid,summer,AM,79.11,13,no tennis
sunny,windy,humid,summer,AM,82.91,23,tennis
not sunny,not windy,humid,fall,AM,95.74,30,no tennis
sunny,windy,not humid,fall,PM,58.18,24,tennis
not sunny,not windy,humid,summer,AM,80.73,24,no tennis
sunny,not windy,not humid,fall,PM,80.02,11,tennis
sunny,not windy,humid,summer,PM,95.22,22,tennis
sunny,windy,not humid,summer,AM,84.63,29,tennis
sunny,windy,not humid,fall,AM,90.87,4,tennis
not sunny,windy,not humid,summer,PM,59.69,27,no tennis
not sunny,windy,humid,fall,PM,54.19,13,no tennis
sunny,not windy,not humid,summer,AM,79.81,21,tennis
not sunny,not windy,humid,summer,PM,57.69,23,no tennis
not sunny,not windy,not humid,fall,AM,54.68,4,no tennis
sunny,not windy,humid,summer,PM,78.71,7,tennis
not sunny,windy,humid,summer,PM,87.17,22,no tennis
not sunny,windy,humid,fall,PM,98.95,8,no tennis
sunny,not windy,humid,summer,AM,93.8,28,no tennis
sunny,windy,not humid,fall,AM,53.49,20,tennis
not sunny,not windy,humid,summer,AM,82.7,6,no tennis
not sunny,windy,humid,fall,AM,99.77,30,no tennis
not sunny,not windy,not humid,fall,AM,69.96,4,no tennis
not sunny,windy,humid,fall,AM,64.12,24,tennis
sunny,not windy,humid,fall,AM,50.46,29,tennis
sunny,not windy,humid,summer,PM,67.27,13,tennis
not sunny,windy,humid,fall,AM,95.33,14,no tennis
not sunny,not windy,not humid,fall,PM,61.29,19,no tennis
not sunny,not windy,not humid,fall,PM,77.63,19,no tennis
not sunny,not windy,not humid,summer,AM,77.6,25,no tennis
sunny,windy,not humid,fall,PM,80.84,6,tennis
not sunny,windy,humid,fall,AM,60.07,3,no tennis
sunny,not windy,not humid,summer,PM,84.43,19,tennis
sunny,windy,not humid,summer,AM,52.62,20,tennis
sunny,not windy,not humid,summer,AM,98.36,28,tennis
not sunny,not windy,humid,summer,AM,82.95,5,tennis
