param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score,rank_test_score
18,sqrt,4,7,250,0.924625,1
16,sqrt,4,7,250,0.923875,2
16,sqrt,4,10,250,0.92375,3
14,sqrt,4,7,1000,0.923375,4
16,sqrt,4,10,500,0.923375,4
18,sqrt,4,10,1000,0.923375,4
18,sqrt,4,7,500,0.92325,7
16,sqrt,4,13,250,0.92325,7
18,sqrt,4,13,250,0.92325,7
16,sqrt,4,7,500,0.923125,10
18,sqrt,4,10,500,0.923125,10
18,sqrt,4,10,750,0.923125,10
12,sqrt,4,7,250,0.9229999999999999,13
14,sqrt,4,13,250,0.922875,14
14,sqrt,4,10,250,0.922875,14
14,sqrt,4,7,750,0.922875,14
12,sqrt,4,10,750,0.922875,14
18,sqrt,4,7,1000,0.922875,14
18,sqrt,4,10,250,0.922875,14
16,sqrt,4,7,1000,0.922875,14
